Grão 204 | Harmônicos: 176 | R²: 0.9991
Grão 205 | Harmônicos: 84 | R²: 0.9990
Grão 207 | Harmônicos: 29 | R²: 0.9791
Grão 208 | Harmônicos: 33 | R²: 0.9990
Grão 210 | Harmônicos: 170 | R²: 0.9990
Grão 211 | Harmônicos: 75 | R²: 0.9909
Grão 212 | Harmônicos: 101 | R²: 0.9990
Grão 213 | Harmônicos: 50 | R²: 0.9990
Grão 214 | Harmônicos: 25 | R²: 0.9994
Grão 215 | Harmônicos: 117 | R²: 0.9990
Grão 216 | Harmônicos: 177 | R²: 0.9990
Grão 217 | Harmônicos: 97 | R²: 0.9990
Grão 220 | Harmônicos: 140 | R²: 0.9990
Grão 221 | Harmônicos: 122 | R²: 0.9990
Grão 222 | Harmônicos: 166 | R²: 0.9990
Grão 223 | Harmônicos: 161 | R²: 0.9990
Grão 224 | Harmônicos: 172 | R²: 0.9993
Grão 225 | Harmônicos: 32 | R²: 0.9991
Grão 226 | Harmônicos: 92 | R²: 0.9934
Grão 227 | Harmônicos: 177 | R²: 0.9991
Grão 228 | Harmônicos: 39 | R²: 0.9990
Grão 229 | Harmônicos: 75 | R²: 0.9990
Grão 230 | Harmônicos: 156 | R²: 0.9990
Grão 231 | Harmônicos: 175 | R²: 0.9991
Grão 234 | Harmônicos: 37 | R²: 0.9990
Grão 235 | Harmônicos: 106 | R²: 0.9990
Grão 236 | Harmônicos: 63 | R²: 0.9990
Grão 237 | Harmônicos: 159 | R²: 0.9991
Grão 238 | Harmônicos: 155 | R²: 0.9990
Grão 239 | Harmônicos: 137 | R²: 0.9990
Grão 240 | Harmônicos: 168 | R²: 0.9990
Grão 241 | Harmônicos: 76 | R²: 0.9990
Grão 242 | Harmônicos: 159 | R²: 0.9990
Grão 243 | Harmônicos: 165 | R²: 0.9991
Grão 244 | Harmônicos: 174 | R²: 0.9991
Grão 246 | Harmônicos: 177 | R²: 0.9992
Grão 249 | Harmônicos: 176 | R²: 0.9991
Grão 251 | Harmônicos: 136 | R²: 0.9990
