label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
283,573,"123,331998462214","0,767003598077529","0,869499241274659","0,564532019704433","36,1948693794347","23,2241772706327","27,0104842447011","240,808027923211","829,842931937173",226,811,255,846,"0,473383316883509"
284,339,"85,4974746830583","0,647100698066722","0,816867469879518","0,576530612244898","25,8925011691138","19,7405605103441","20,7756637839858","244,474926253687","478,935103244838",231,470,259,491,"0,582777783935397"
285,403,"85,9411254969543","0,812950100436417","0,88962472406181","0,625776397515528","30,7793075749288","17,9238173879944","22,652053693391","247,915632754342","124,153846153846",235,112,263,135,"0,685666349730612"
286,771,"124,846717087976","0,536133432017561","0,83804347826087","0,566911764705882","36,6706769935755","30,9549377354628","31,3315765481217","247,517509727626","244,225680933852",226,227,266,261,"0,6215985438423"
287,329,"68,8345237791561","0,696533937511156","0,94","0,806372549019608","24,3299264159915","17,4573024480828","20,4669443302577","247,887537993921","1328,54407294833",240,1317,257,1341,"0,872555655276808"
288,671,"124,639610306789","0,36405452887258","0,793144208037825","0,533386327503975","33,938271200893","31,6093467858272","29,229158977249","248,140089418778","1126,43517138599",225,1110,262,1144,"0,542775478927507"
289,554,"95,7401153701776","0,7954921696606","0,927973199329983","0,621773288439955","34,5676793765006","20,9467646653219","26,5588913131418","246,480144404332","170,889891696751",231,159,264,186,"0,759506921099055"
290,328,"83,4974746830583","0,703240051687597","0,792270531400966","0,570434782608696","27,220230741007","19,3522905684193","20,4358158798012","247,390243902439","11,7987804878049",236,0,259,25,"0,591203540433066"
291,574,"124,710678118655","0,765468199429975","0,845360824742268","0,57979797979798","35,1476571024972","22,6165938652387","27,0340433283293","250,526132404181","930,357142857143",236,915,266,948,"0,4637826256748"
292,538,"131,053823869162","0,691159158638271","0,700520833333333","0,494485294117647","33,7597077573121","24,3982278563573","26,1725595818888","253,501858736059","1020,75836431227",238,1008,272,1040,"0,393634128504404"
293,477,"87,4974746830583","0,745897707841329","0,901701323251418","0,657931034482759","30,5828250879517","20,3700122235293","24,6441729996905","261,660377358491","595,836477987421",247,583,276,608,"0,782955727679332"
294,503,"93,9827560572969","0,537737602286183","0,899821109123435","0,559510567296997","28,2904533364711","23,8520278497084","25,3069059942496","256,638170974155","993,445328031809",240,979,271,1008,"0,715618395400771"
295,768,"114,083261120685","0,796723533496063","0,923076923076923","0,703296703296703","40,7749737199076","24,6421087219441","31,2705607617869","258,859375","790,561197916667",247,769,273,811,"0,74152744526462"
296,811,"123,468037431535","0,732246314258259","0,901111111111111","0,614393939393939","39,9626805647689","27,2161796781535","32,1340515774189","257,347718865598","1173,9075215783",244,1153,277,1193,"0,66853111995135"
297,298,"87,5979797464467","0,767201410687329","0,766066838046273","0,596","26,3362201294692","16,8922165599118","19,4788445327509","262,046979865772","1258,39932885906",251,1248,276,1268,"0,488020367476498"
298,177,"50,6274169979695","0,842015465704895","0,96195652173913","0,766233766233766","20,5574553928476","11,0897889162985","15,0121084268041","259,920903954802","685,706214689266",255,675,266,696,"0,867783902673996"
299,462,"89,254833995939","0,633455048877293","0,893617021276596","0,6015625","28,5011165620836","22,0535794729643","24,2535908613064","263,272727272727","371,030303030303",251,354,275,386,"0,728766408824277"
300,2319,"192,651803615609","0,455699725192504","0,954713874022231","0,656196943972835","58,524071828823","52,0942405940507","54,338223234118","265,805519620526","306,890470030185",236,279,293,341,"0,785171367791693"
301,390,"77,9411254969543","0,404529775589692","0,948905109489051","0,738636363636364","23,9545305831321","21,9070129565521","22,2837030685367","266,979487179487","523,464102564103",258,513,280,537,"0,806753996179825"
302,1740,"184,160425586961","0,71818698746545","0,877901109989909","0,71078431372549","57,7071144044315","40,1555050345838","47,068426868116","264,259195402299","86,832183908046",237,63,288,111,"0,644713096553004"
303,521,"104,846717087976","0,72573542853279","0,844408427876823","0,509286412512219","32,8886118905476","22,6265066044459","25,7557333967996","269,975047984645","43,2495201535509",256,28,289,59,"0,595576994974871"
304,204,"60,5269119345812","0,844290017019722","0,868085106382979","0,545454545454545","22,8796859123056","12,2609153656272","16,1164781241428","270,519607843137","402,803921568628",263,392,280,414,"0,699750145833149"
305,250,"63,3553390593274","0,745523718861192","0,915750915750916","0,639386189258312","22,5621926551654","15,0372297512274","17,8412411615277","267,868","571,28",260,561,277,584,"0,782678553574051"
306,1381,"201,823376490863","0,637429848914152","0,75382096069869","0,563673469387755","51,1220857975633","39,3899963083755","41,9326103561328","267,944967414917","1345,88631426503",240,1322,289,1372,"0,426050037013125"
